candidate_id,term_id,source_lang,source_term,current_target_term,suggested_target_term,problem_type,reason,evidence_source,decision_status
BADTARGET-0027,ms_0011,ms,lampiran,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0028,ms_0012,ms,perenggan,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0029,ms_0013,ms,hendaklah,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0030,nl_0001,nl,voertuig,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0031,nl_0010,nl,eis,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0032,nl_0012,nl,bijlage,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0033,nl_0013,nl,punt,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0034,nl_0014,nl,moet,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0035,no_0001,no,kjøretøy,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0036,no_0010,no,krav,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0037,no_0012,no,vedlegg,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0038,no_0013,no,punkt,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0039,no_0014,no,skal,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0040,pt_0001,pt,veículo,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0041,pt_0010,pt,requisito,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0042,pt_0012,pt,anexo,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0043,pt_0013,pt,parágrafo,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0044,pt_0014,pt,deve,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0045,sv_0001,sv,fordon,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0046,sv_0010,sv,krav,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0047,sv_0012,sv,bilaga,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0048,sv_0013,sv,punkt,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0049,sv_0014,sv,ska,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0050,th_0001,th,ยานพาหนะ,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0051,th_0009,th,ข้อกำหนด,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0052,th_0011,th,ภาคผนวก,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0053,th_0012,th,วรรค,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0054,vi_0001,vi,xe,车辆,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0055,vi_0010,vi,yêu cầu,要求,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0056,vi_0012,vi,phụ lục,附件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0057,vi_0013,vi,đoạn,段落,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0058,vi_0014,vi,phải,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0059,ru_0018,ru,приложение,附录,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0060,ru_0019,ru,таблица,表,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0061,ru_0020,ru,рисунок,图,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0062,es_0085,es,deberán,应,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0063,es_0086,es,podrán,可以,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0064,es_0269,es,sistema,系统,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
BADTARGET-0065,es_0270,es,componente,部件,,bad_target_term,"Current target term appears broad, structural, or unsuitable as a terminology target.",termbase_v0.2_static_scan,candidate
