candidate_id,term_id,source_lang,target_lang,source_term,current_target_term,domain,priority,status,current_alias,current_note,problem_type,evidence_source,frequency,suggested_action,suggested_target_term,suggested_alias,suggested_priority,suggested_status,suggested_note,tcr_scope,acceptance_scope,owner,decision_status
TBV03-0056,fr_0006,fr,zh,dispositif d'éclairage,照明装置,lighting,high,active,,法语灯光术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0057,fr_0007,fr,zh,émissions,排放,emission,high,active,,法语排放术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0058,fr_0008,fr,zh,essai,试验,test,high,active,,法语试验术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0059,fr_0009,fr,zh,exigence,要求,general,medium,active,,法语法规要求,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0060,fr_0010,fr,zh,annexe,附件,document,medium,active,,法语附件,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0061,ar_0001,ar,zh,مركبة,车辆,general,high,active,,阿拉伯语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0062,ar_0002,ar,zh,مركبة آلية,机动车,general,high,active,,阿拉伯语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0063,ar_0003,ar,zh,الشركة المصنعة,制造商,general,high,active,,阿拉伯语制造商,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0064,ar_0004,ar,zh,نظام الفرامل,制动系统,braking,high,active,,阿拉伯语制动系统,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0065,es_0001,es,zh,vehículo,车辆,general,high,active,,西班牙语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0066,es_0002,es,zh,vehículo de motor,机动车,general,high,active,,西班牙语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0067,es_0003,es,zh,fabricante,制造商,general,high,active,,西班牙语制造商,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0068,es_0004,es,zh,homologación de tipo,型式认证,certification,high,active,,西班牙语型式认证,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0069,es_0005,es,zh,autoridad de homologación,认证主管机构,certification,high,active,,西班牙语认证主管机构,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0070,es_0006,es,zh,sistema de frenado,制动系统,braking,high,active,,西班牙语制动系统,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0071,es_0007,es,zh,dispositivo de alumbrado,照明装置,lighting,high,active,,西班牙语照明装置,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0072,es_0008,es,zh,emisiones,排放,emission,high,active,,西班牙语排放,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0073,es_0009,es,zh,ensayo,试验,test,high,active,,西班牙语试验,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0074,es_0010,es,zh,requisito,要求,general,medium,active,,西班牙语要求,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0075,es_0011,es,zh,reglamento,法规,general,high,active,,西班牙语法规,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0076,es_0012,es,zh,anexo,附件,document,medium,active,,西班牙语附件,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0077,es_0013,es,zh,párrafo,段落,document,medium,active,,西班牙语段落,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0078,es_0014,es,zh,deberá,应,modal,high,active,,西班牙语义务词,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0079,es_0015,es,zh,no deberá,不得,modal,high,active,,西班牙语禁止性义务词,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0080,id_0001,id,zh,kendaraan,车辆,general,high,active,,印尼语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0081,id_0002,id,zh,kendaraan bermotor,机动车,general,high,active,,印尼语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0082,id_0003,id,zh,pabrikan,制造商,general,high,active,,印尼语制造商,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0083,id_0004,id,zh,persetujuan tipe,型式认证,certification,high,active,,印尼语型式认证,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0084,id_0005,id,zh,sistem pengereman,制动系统,braking,high,active,,印尼语制动系统,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0085,id_0006,id,zh,perangkat penerangan,照明装置,lighting,high,active,,印尼语照明装置,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0086,id_0007,id,zh,emisi,排放,emission,high,active,,印尼语排放,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0087,id_0008,id,zh,pengujian,试验,test,high,active,,印尼语试验,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0088,id_0009,id,zh,persyaratan,要求,general,medium,active,,印尼语要求,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0089,id_0010,id,zh,peraturan,法规,general,high,active,,印尼语法规,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0090,id_0011,id,zh,lampiran,附件,document,medium,active,,印尼语附件,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0091,id_0012,id,zh,paragraf,段落,document,medium,active,,印尼语段落,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0092,id_0013,id,zh,harus,应,modal,high,active,,印尼语义务词,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0093,it_0001,it,zh,veicolo,车辆,general,high,active,,意大利语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0094,it_0002,it,zh,veicolo a motore,机动车,general,high,active,,意大利语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0095,it_0003,it,zh,costruttore,制造商,general,high,active,,意大利语制造商,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0096,it_0004,it,zh,omologazione,型式认证,certification,high,active,,意大利语型式认证,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0097,it_0005,it,zh,autorità di omologazione,认证主管机构,certification,high,active,,意大利语认证主管机构,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0098,it_0006,it,zh,sistema di frenatura,制动系统,braking,high,active,,意大利语制动系统,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0099,it_0007,it,zh,dispositivo di illuminazione,照明装置,lighting,high,active,,意大利语照明装置,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0100,it_0008,it,zh,emissioni,排放,emission,high,active,,意大利语排放,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",strict,external_acceptance,杨杰康,candidate
TBV03-0101,it_0009,it,zh,prova,试验,test,high,active,,意大利语试验,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0102,it_0010,it,zh,requisito,要求,general,medium,active,,意大利语要求,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0103,it_0011,it,zh,regolamento,法规,general,high,active,,意大利语法规,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0104,it_0012,it,zh,allegato,附件,document,medium,active,,意大利语附件,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0105,it_0013,it,zh,paragrafo,段落,document,medium,active,,意大利语段落,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0106,it_0014,it,zh,deve,应,modal,high,active,,意大利语义务词,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0107,ms_0001,ms,zh,kenderaan,车辆,general,high,active,,马来语车辆术语,bad_target_term,termbase_v0.2_static_scan,,fix target_term,,,,review,"Current target term appears too broad, structural, or unnatural.",,,杨杰康,candidate
TBV03-0108,ms_0002,ms,zh,kenderaan bermotor,机动车,general,high,active,,马来语机动车术语,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0109,ms_0003,ms,zh,pengeluar,制造商,general,high,active,,马来语制造商,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
TBV03-0110,ms_0004,ms,zh,kelulusan jenis,型式认证,certification,high,active,,马来语型式认证,missing,termbase_v0.2_static_scan,,check injection / add alias / adjust prompt strategy,,,,review,"Check whether missing is caused by injection failure, alias gap, or prompt behavior.",,,杨杰康,candidate
